cuisine,ingredient,weight
Cabbage Roll,beef,330-350g
Cabbage Roll,chopped onion,2-Jan
Cabbage Roll,egg,One
Cabbage Roll,rice (or bread crumbs),1/2 air
Cabbage Roll,milk,1.5 tablespoons
Cabbage Roll,Nutmeg,a little
Cabbage Roll,butter,1.5 tablespoons
Cabbage Roll,parsley,handful
Cabbage Roll,salt,0.3 tablespoon
Thai Steamed Mussels,mussel,1kg
Thai Steamed Mussels,Rice wine,1.5 tablespoons
Thai Steamed Mussels,Coriander,8 stems
Thai Steamed Mussels,lemongrass,1 stem
Thai Steamed Mussels,green onion,2-3 roots
Thai Steamed Mussels,garlic,page 5
Thai Steamed Mussels,Coconut Milk,400g
Thai Steamed Mussels,Fish Sauce (or Canary Fish Sauce),1 tablespoon
Thai Steamed Mussels,salt,a little
Thai Steamed Mussels,Lime (or Lemon),2-Jan
Thai Steamed Mussels,Freakinu Chili (or Spicy Cheongyang Pepper),Three
Thai Steamed Mussels,Peanut Oil (or Cooking Oil),1.5 tablespoons
Peking Duck,Duck (Breast),1.1kg
Peking Duck,cucumber,2-Jan
Peking Duck,green onion,3-4 roots
Peking Duck,water,2 tablespoons
Peking Duck,Haeseon Sauce,100 grams
Peking Duck,pan cake,About 25-30 pieces
basil pesto,basil,75g
basil pesto,olive oil,80ml
basil pesto,pine nut,5 tablespoons
basil pesto,garlic,1-2 grains
basil pesto,Parmesan Cheese,3 tablespoons
basil pesto,salt,0.1-0.2 tablespoons
marmalade,orange,Three
marmalade,lemon juice,5-6 tablespoons
marmalade,sugar,900g
marmalade,coarse salt,3 tablespoons
marmalade,vinegar,1.5 tablespoons
Mapo Tofu Rice,silken tofu,400g
Mapo Tofu Rice,Dubanjang,2.5 tablespoons
Mapo Tofu Rice,pork belly,150g
Mapo Tofu Rice,peanut oil,a little
Mapo Tofu Rice,chili powder,1-1.5 tablespoons
Mapo Tofu Rice,chicken broth,1 cup
Mapo Tofu Rice,green onion,a little
Mapo Tofu Rice,white sugar,0.3-0.5 tablespoons
Mapo Tofu Rice,dark soy sauce,0.5 tablespoon
Mapo Tofu Rice,starch,7 tablespoons
Mapo Tofu Rice,Sichuan pepper (or Sancho powder),a little
Nikujaga,potato,2 (large)
Nikujaga,carrot,Three
Nikujaga,Beef (Slice),260g
Nikujaga,onion,400g
Nikujaga,Dried kelp,3 pieces
Nikujaga,dried bonito,1/2 cup
Nikujaga,soy sauce,80-85ml
Nikujaga,sugar,5-6 tablespoons
Nikujaga,cooking wine,5 tablespoons
Nikujaga,Rice wine,1.2 tablespoons
Tuna Casserole,pasta,200g
Tuna Casserole,canned tuna,200g
